


















排名 英雄名 出场次数 pick比率 ban比率 胜率 总击杀（场均） 总助攻（场均） 总死亡（场均） KDA 常用队员
37 魔法猫咪 12 3% 5% 41% 7(0.5) 94(7.8) 28(2.3) 3.6 Southwind
38 暗裔剑魔 8 2% 0% 75% 17(2.1) 44(5.5) 17(2.1) 3.58 Zoom
39 机械先驱 81 22% 7% 48% 264(3.2) 407(5) 187(2.3) 3.58 knight
40 盲僧 123 34% 39% 57% 327(2.6) 889(7.2) 340(2.7) 3.57 SofM
41 破败之王 110 30% 16% 49% 345(3.1) 559(5) 258(2.3) 3.5 clid
42 天启者 25 7% 8% 36% 20(0.8) 210(8.4) 67(2.6) 3.43 Meiko
43 残月之肃 215 60% 15% 46% 834(3.8) 917(4.2) 514(2.3) 3.4 Viper
44 愁云使者 45 12% 20% 51% 154(3.4) 244(5.4) 119(2.6) 3.34 knight
45 熔岩巨兽 11 3% 5% 63% 17(1.5) 90(8.1) 32(2.9) 3.34 Wayward
46 巨魔之王 22 6% 3% 63% 44(2) 163(7.4) 62(2.8) 3.33 SofM
47 赏金猎人 3 0% 0% 66% 19(6.3) 24(8) 13(4.3) 3.3 Viper
48 离群之刺 39 10% 28% 46% 186(4.7) 167(4.2) 107(2.7) 3.29 FoFo
49 河流之王 73 20% 19% 53% 51(0.6) 538(7.3) 183(2.5) 3.21 yuyanjia
50 德玛西亚皇子 43 12% 20% 46% 81(1.8) 397(9.2) 153(3.5) 3.12 Karsa
51 冰霜女巫 4 1% 0% 50% 9(2.2) 25(6.2) 11(2.7) 3.09 Scout
52 山隐之焰 14 4% 1% 57% 25(1.7) 99(7) 41(2.9) 3.02 Zoom
53 不灭狂雷 62 17% 8% 53% 118(1.9) 413(6.6) 177(2.8) 3 clid
54 刀锋舞者 8 2% 2% 62% 26(3.2) 43(5.3) 23(2.8) 3 Doinb
55 灵罗娃娃 130 36% 50% 50% 398(3) 525(4) 317(2.4) 2.91 Cube
56 未来守护者 85 23% 43% 57% 253(2.9) 443(5.2) 239(2.8) 2.91 Flandre
57 虚空之女 18 5% 1% 38% 78(4.3) 84(4.6) 57(3.1) 2.84 iBoy
58 青钢影 47 13% 19% 51% 143(3) 236(5) 134(2.8) 2.82 Breathe
59 扭曲树精 1 0% 0% 0% 0(0) 14(14) 5(5) 2.8 Jinjiao
60 爆破鬼才 15 4% 3% 33% 43(2.8) 81(5.4) 45(3) 2.75 Viper
61 狂暴之心 48 13% 11% 58% 149(3.1) 246(5.1) 145(3) 2.72 TheShy
62 暮光之眼 2 0% 0% 50% 1(0.5) 18(9) 7(3.5) 2.71 shanji
63 机械公敌 4 1% 4% 50% 12(3) 34(8.5) 17(4.2) 2.7 shanji
64 解脱者 19 5% 5% 42% 77(4) 98(5.1) 65(3.4) 2.69 Scout
65 沙漠玫瑰 10 2% 6% 40% 35(3.5) 47(4.7) 31(3.1) 2.64 Betty
66 狂野女猎手 12 3% 14% 33% 43(3.5) 60(5) 39(3.2) 2.64 Karsa
67 德邦总管 163 47% 27% 43% 330(2) 1006(6.1) 506(3.1) 2.64 Karsa
68 镕铁少女 5 1% 0% 80% 3(0.6) 43(8.6) 18(3.6) 2.55 yuyanjia
69 酒桶 48 13% 7% 47% 70(1.4) 252(5.2) 128(2.6) 2.51 Flandre
70 星籁歌姬 1 0% 0% 0% 0(0) 5(5) 2(2) 2.5 Lucas
71 蛮族之王 33 9% 16% 36% 110(3.3) 115(3.4) 90(2.7) 2.5 TheShy
72 法外狂徒 89 24% 17% 43% 225(2.5) 330(3.7) 225(2.5) 2.46 Flandre
73 牛头酋长 36 10% 3% 47% 18(0.5) 307(8.5) 132(3.6) 2.46 Meiko
74 刀锋之影 9 2% 4% 44% 34(3.7) 32(3.5) 27(3) 2.44 Karsa
75 探险家 25 7% 1% 32% 87(3.4) 106(4.2) 79(3.1) 2.44 Uzi
76 弗雷尔卓德之心 18 5% 1% 33% 5(0.2) 139(7.7) 60(3.3) 2.4 Jinjiao
77 深海泰坦 166 46% 21% 51% 125(0.7) 1320(7.9) 600(3.6) 2.4 Meiko
78 迷失之牙 61 17% 6% 45% 125(2) 261(4.2) 162(2.6) 2.38 Cube
79 猩红收割者 2 0% 0% 50% 7(3.5) 12(6) 8(4) 2.37 Flandre
80 麦林炮手 15 4% 1% 46% 55(3.6) 52(3.4) 46(3) 2.32 Viper
81 圣锤之毅 14 4% 2% 64% 17(1.2) 92(6.5) 48(3.4) 2.27 Karsa
82 皎月女神 20 5% 5% 35% 50(2.5) 105(5.2) 69(3.4) 2.24 clid
83 虚空遁地兽 20 5% 6% 45% 60(3) 74(3.7) 60(3) 2.23 clid
84 亡灵战神 20 5% 3% 50% 32(1.6) 118(5.9) 67(3.3) 2.23 Cube
85 齐天大圣 2 0% 0% 50% 3(1.5) 10(5) 6(3) 2.16 zs
86 铁铠冥魂 2 0% 0% 50% 7(3.5) 8(4) 7(3.5) 2.14 fearness
87 曙光女神 134 37% 11% 47% 94(0.7) 1033(7.7) 540(4) 2.08 Meiko
88 荒漠屠夫 36 10% 34% 30% 67(1.8) 167(4.6) 114(3.1) 2.05 Doinb
89 元素女皇 3 0% 0% 33% 13(4.3) 15(5) 14(4.6) 2 Leyan
90 北地之怒 4 1% 0% 25% 9(2.2) 15(3.7) 12(3) 2 Karsa
91 狂战士 9 2% 2% 66% 17(1.8) 43(4.7) 30(3.3) 2 Wei
92 光辉女郎 16 4% 0% 37% 13(0.8) 106(6.6) 60(3.7) 1.98 Meiko
93 腕豪 20 5% 1% 35% 31(1.5) 117(5.8) 80(4) 1.85 Meiko
94 永恒梦魇 3 0% 0% 0% 8(2.6) 5(1.6) 7(2.3) 1.85 clid
95 皮城执法官 1 0% 0% 100% 2(2) 9(9) 6(6) 1.83 Karsa
96 武器大师 30 8% 9% 40% 71(2.3) 79(2.6) 82(2.7) 1.82 Biubiu
97 殇之木乃伊 1 0% 0% 0% 0(0) 9(9) 5(5) 1.8 COLD
98 海洋之灾 7 2% 1% 28% 15(2.1) 33(4.7) 27(3.8) 1.77 369
99 蒸汽机器人 3 0% 0% 0% 3(1) 15(5) 11(3.6) 1.63 Southwind
100 影哨 3 0% 2% 66% 8(2.6) 8(2.6) 10(3.3) 1.6 TheShy
101 时间刺客 1 0% 0% 0% 2(2) 4(4) 4(4) 1.5 YeG
102 兽灵行者 1 0% 0% 0% 1(1) 5(5) 5(5) 1.2 H4cker
103 疾风剑豪 1 0% 0% 0% 1(1) 1(1) 2(2) 1 Gori
104 琴瑟仙女 1 0% 0% 0% 0(0) 3(3) 5(5) 0.6 Kedaya
105 虚空恐惧 1 0% 0% 0% 0(0) 1(1) 5(5) 0.2 Flandre
